startTime,appName,projectName,organization,environment,Sonar,resultSonarAnalysis,api_performance_testing,api_performance_tests_executed,api_performance_tests_success_rate,api_functional_testing,api_tests_executed,api_tests_failed,forfify_security_test,web_functional_testing,web_tests_executed,web_tests_failed,trivy_security_test,fortify_security_critical,fortify_security_high,trivy_security_high,trivy_security_critical,product,appType,deploymentType
2024-09-10T16:47:58,ms-spb-wh-genesys-codification,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T17:08:14,ms-spb-wh-genesys-ivr,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T17:08:14,ms-spb-wh-genesys-ivr,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T09:12:51,ms-spb-wh-contact,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-06T10:15:44,ms-spb-wh-location,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-10T16:47:58,ms-spb-wh-genesys-codification,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T15:49:40,ms-spb-wh-collateral-chassis,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T17:54:31,ms-spb-wh-cus-duplicated-customer,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T18:38:28,ms-spb-wh-cus-existing-customers,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T18:15:58,ms-spb-wh-loan-simulation,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T18:16:05,ms-spb-wh-loan-diversas,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T18:57:41,ms-spb-wh-customer-rating,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T19:14:41,ms-camel-wh-center-structural-organization,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
2024-09-05T19:15:16,ms-spb-wh-loan-cancellation,wh-operational-portal,SCF,PRE,,,,,,,,,,,,,,,,,,PDCT0050054,MavenDockerHelm,EKS
